Table 3 
Photometric Data Set for the Afterglow of GRB091127


Time^a	Facility	Exposure	Filter	Magnitude^b	Time^a	Facility	Exposure	Filter	Magnitude^b	
(s)		(s)			(s)		(s)			
146.0	LT	10	r'	15.41 +or- 0.02	153.0	Skycam	10	C	15.09 +or- 0.08	
168.2	LT	10	r'	15.45 +or- 0.02	212.0	Skycam	10	C	15.23 +or- 0.09	
191.0	LT	10	r'	15.58 +or- 0.02	274.0	Skycam	10	C	15.49 +or- 0.11	
422.0	LT	10	r'	15.95 +or- 0.03	333.0	Skycam	10	C	15.80 +or- 0.14	
444.8	LT	10	r'	16.02 +or- 0.03	393.0	Skycam	10	C	15.62 +or- 0.12	
468.8	LT	10	r'	16.00 +or- 0.03	453.0	Skycam	10	C	15.75 +or- 0.13	
760.2	LT	120	r'	16.16 +or- 0.01	513.0	Skycam	10	C	15.88 +or- 0.14	
1413.0	LT	120	r'	16.32 +or- 0.01	573.0	Skycam	10	C	16.00 +or- 0.16	
1546.2	LT	120	r'	16.34 +or- 0.01	664.0	Skycam	10	C	15.82 +or- 0.10	
2662.8	LT	120	r'	16.52 +or- 0.01	783.5	Skycam	10	C	16.08 +or- 0.13	
2794.8	LT	120	r'	16.53 +or- 0.02	903.5	Skycam	10	C	16.04 +or- 0.11	
2926.8	LT	120	r'	16.55 +or- 0.02	1023.0	Skycam	10	C	15.89 +or- 0.10	
4878.2	LT	10	r'	16.74 +or- 0.05	1144.0	Skycam	10	C	15.92 +or- 0.11	
4899.8	LT	10	r'	16.71 +or- 0.05	1265.0	Skycam	10	C	16.14 +or- 0.13	
4922.0	LT	10	r'	16.72 +or- 0.05	1382.5	Skycam	10	C	16.09 +or- 0.12	
5157.8	LT	10	r'	16.76 +or- 0.05	1504.0	Skycam	10	C	15.93 +or- 0.10	
5180.0	LT	10	r'	16.82 +or- 0.06	1623.0	Skycam	10	C	16.27 +or- 0.14	
5204.0	LT	10	r'	16.77 +or- 0.06	1743.5	Skycam	10	C	15.96 +or- 0.10	
5494.8	LT	120	r'	16.83 +or- 0.03	48385.2	FTS	300	B	18.78 +or- 0.07	
6139.2	LT	120	r'	16.88 +or- 0.03	48708.0	FTS	300	B	18.82 +or- 0.08	
6271.8	LT	120	r'	16.91 +or- 0.03	49029.0	FTS	300	B	18.71 +or- 0.09	
7390.2	LT	120	r'	17.00 +or- 0.03	49351.2	FTS	300	B	18.84 +or- 0.07	
7521.0	LT	120	r'	16.99 +or- 0.03	55294.2	FTS	300	B	19.03 +or- 0.07	
7654.2	LT	120	r'	16.99 +or- 0.03	55615.8	FTS	300	B	18.94 +or- 0.08	
77200.2	LT	300	r'	19.25 +or- 0.03	55936.8	FTS	300	B	19.06 +or- 0.08	
77512.2	LT	300	r'	19.27 +or- 0.03	56259.0	FTS	300	B	18.98 +or- 0.08	
77824.2	LT	300	r'	19.29 +or- 0.03	40923.0	FTS	300	V	18.37 +or- 0.05	
78138.0	LT	300	r'	19.30 +or- 0.03	41244.0	FTS	300	V	18.46 +or- 0.10	
78448.8	LT	300	r'	19.27 +or- 0.03	41566.2	FTS	300	V	18.38 +or- 0.05	
78760.8	LT	300	r'	19.34 +or- 0.04	41887.2	FTS	300	V	18.36 +or- 0.05	
88690.2	LT	300	r'	19.50 +or- 0.04	49773.0	FTS	300	V	18.60 +or- 0.05	
89002.2	LT	300	r'	19.44 +or- 0.05	50094.0	FTS	300	V	18.61 +or- 0.05	
89314.2	LT	300	r'	19.45 +or- 0.04	50416.2	FTS	300	V	18.63 +or- 0.06	
89628.0	LT	300	r'	19.53 +or- 0.08	50737.8	FTS	300	V	18.64 +or- 0.06	
162917.0	LT	1800	r'	20.44 +or- 0.08	56647.8	FTS	300	V	18.82 +or- 0.06	
509520.0	LT	1800	r'	>20.8	56968.8	FTS	300	V	18.83 +or- 0.06	
979.8	LT	120	i'	16.17 +or- 0.03	57291.0	FTS	300	V	18.80 +or- 0.06	
1831.2	LT	120	i'	16.35 +or- 0.03	57612.0	FTS	300	V	18.80 +or- 0.06	
1963.8	LT	120	i'	16.37 +or- 0.03	47032.2	FTS	300	R	18.51 +or- 0.08	
3277.2	LT	120	i'	16.54 +or- 0.03	47353.8	FTS	300	R	18.30 +or- 0.06	
3409.2	LT	120	i'	16.54 +or- 0.03	47676.0	FTS	300	R	18.37 +or- 0.06	
3541.2	LT	120	i'	16.57 +or- 0.03	47998.2	FTS	300	R	18.45 +or- 0.07	
5707.8	LT	120	i'	16.78 +or- 0.03	53940.0	FTS	300	R	18.56 +or- 0.04	
6553.8	LT	120	i'	16.85 +or- 0.03	54262.2	FTS	300	R	18.64 +or- 0.04	
6685.8	LT	120	i'	16.86 +or- 0.03	54583.8	FTS	300	R	18.60 +or- 0.04	
8004.0	LT	120	i'	16.98 +or- 0.03	54906.0	FTS	300	R	18.65 +or- 0.04	
8136.0	LT	120	i'	17.00 +or- 0.03	301208.1	FTS	900	R	21.16 +or- 0.15	
8268.0	LT	120	i'	17.01 +or- 0.03	42283.8	FTS	300	i'	18.34 +or- 0.05	
75250.8	LT	300	i'	19.09 +or- 0.05	42606.0	FTS	300	i'	18.37 +or- 0.05	
75562.2	LT	300	i'	19.12 +or- 0.05	42928.2	FTS	300	i'	18.34 +or- 0.05	
75877.2	LT	300	i'	19.08 +or- 0.05	43249.2	FTS	300	i'	18.46 +or- 0.06	
76189.2	LT	300	i'	19.12 +or- 0.05	43570.8	FTS	300	i'	18.39 +or- 0.06	
76501.2	LT	300	i'	19.05 +or- 0.05	51415.2	FTS	300	i'	18.59 +or- 0.05	
76813.2	LT	300	i'	19.11 +or- 0.05	51736.8	FTS	300	i'	18.59 +or- 0.05	
165408.	LT	1800	i'	20.41 +or- 0.08	52057.8	FTS	300	i'	18.59 +or- 0.05	
336499.	LT	1800	i'	21.25+or- 0.15	52380.0	FTS	300	i'	18.64 +or- 0.05	
511463.	LT	1800	i'	>20.0	52702.2	FTS	300	i'	18.61 +or- 0.05	
1200.0	LT	120	z'	16.25 +or- 0.05	58005.0	FTS	300	i'	18.77 +or- 0.05	
2242.8	LT	120	z'	16.43 +or- 0.05	58327.2	FTS	300	i'	18.76 +or- 0.05	
2374.8	LT	120	z'	16.41 +or- 0.05	58648.8	FTS	300	i'	18.76 +or- 0.05	
5925.0	LT	120	z'	16.84 +or- 0.07						
6976.2	LT	120	z'	16.87 +or- 0.07						
7108.2	LT	120	z'	16.91 +or- 0.07						
Notes.
a Midpoint time from the GRB trigger.
b Errors are 1 sigma.
