time	obs_wavelength	flux	instrument	integration	time_unit	wavelength_unit	flux_unit	redshift	dtime	rest_wavelength	integration_unit	reference	date	date_unit	time_frame	sky_flux
0.76	3776.7	1.960000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3683.866562621928	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3802.3	1.888000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3708.8373000390175	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3827.9	1.725000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3733.808037456107	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3853.4	1.736000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3758.6812329301606	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3879.0	1.564000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3783.6519703472495	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3904.6	1.420000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3808.622707764339	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3930.1	1.465000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3833.4959032383927	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3955.7	1.439000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3858.466640655482	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	3981.3	1.565000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3883.437378072572	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4006.8	1.311000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3908.3105735466256	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4032.4	1.250000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3933.281310963715	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4058.0	1.348000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3958.252048380805	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4083.6	1.402000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	3983.222785797893	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4109.1	1.357000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4008.095981271948	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4134.7	1.585000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4033.066718689037	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4160.3	1.549000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4058.0374561061262	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4185.8	1.319000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4082.91065158018	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4211.4	1.376000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4107.881388997269	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4237.0	1.198000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4132.852126414358	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4262.6	1.238000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4157.822863831449	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4313.7	1.111000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4207.666796722591	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4339.3	1.160000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4232.637534139681	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4364.8	1.021000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4257.510729613735	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4390.4	1.089000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4282.481467030823	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4416.0	1.015000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4307.452204447913	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4441.6	1.016000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4332.422941865003	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4467.1	1.057000e-15	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4357.296137339056	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4492.7	9.693000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4382.266874756146	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4518.3	9.594000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4407.237612173235	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4543.8	9.684000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4432.110807647289	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4569.4	9.568000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4457.081545064378	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4595.0	9.054000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4482.052282481468	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4620.5	8.772000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4506.925477955521	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4646.1	8.555000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4531.896215372611	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4671.7	8.308000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4556.8669527897	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4697.3	8.320000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4581.837690206789	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4722.8	8.656000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4606.710885680844	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4748.4	8.261000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4631.681623097932	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4774.0	7.969000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4656.652360515022	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4799.5	8.195000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4681.525555989076	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4825.1	7.518000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4706.496293406166	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4850.7	8.007000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4731.467030823254	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4876.3	7.649000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4756.437768240344	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4901.8	8.079000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4781.310963714398	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4927.4	7.857000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4806.281701131486	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4953.0	7.628000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4831.252438548577	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	4978.5	8.028000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4856.12563402263	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5004.1	7.804000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4881.09637143972	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5029.7	7.249000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4906.067108856809	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5055.3	7.459000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4931.037846273898	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5080.8	7.482000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4955.911041747952	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5106.4	7.424000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	4980.881779165041	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5132.0	7.722000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5005.852516582131	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5157.5	7.658000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5030.725712056184	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5183.1	6.620000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5055.696449473275	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5208.7	6.207000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5080.667186890363	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5234.2	5.961000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5105.540382364417	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5259.8	6.078000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5130.511119781507	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5285.4	5.532000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5155.481857198595	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5311.0	5.835000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5180.4525946156855	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5336.5	5.769000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5205.325790089739	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5362.1	5.547000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5230.296527506829	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5387.7	5.382000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5255.2672649239175	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5413.2	5.183000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5280.140460397972	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5438.8	5.670000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5305.111197815061	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5464.4	5.474000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5330.081935232151	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5490.0	5.693000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5355.05267264924	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5515.5	5.427000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5379.925868123293	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5541.1	5.371000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5404.896605540384	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5566.7	5.449000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5429.867342957472	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5592.2	5.421000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5454.740538431526	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
0.76	5617.8	5.277000e-16	P60+SEDM	1800.0	days	angstroms	erg/s/cm2/A	0.025235	NaN	5479.711275848616	seconds	https://ui.adsabs.harvard.edu/abs/2020ApJ...902...86H/abstract	NaN	NaN	NaN	NaN
