Table 4 
Log of UVOT Observations of GRB 111209A


DeltaT	Exp.	AB-mag	Error	Filter	
(s)	(s)	
742	19.5	19.03	0.26	UVW2	
1021	19.5	19.87	0.39	UVW2	
1369	19.5	19.84	0.38	UVW2	
5344	197	19.66	0.12	UVW2	
6780	197	19.67	0.11	UVW2	
12398	886	19.64	0.06	UVW2	
19034	694	19.93	0.07	UVW2	
41800	886	20.92	0.11	UVW2	
57659	660	21.30	0.17	UVW2	
75113	886	21.75	0.20	UVW2	
86682	886	21.33	0.14	UVW2	
109615	886	21.31	0.15	UVW2	
123155	366	21.56	0.23	UVW2	
128450	886	21.09	0.12	UVW2	
179202	315	22.34	0.48	UVW2	
184866	315	22.66	0.63	UVW2	
190594	315	22.05	0.40	UVW2	
196414	315	22.13	0.42	UVW2	
231066	315	22.58	0.60	UVW2	
236842	315	22.34	0.49	UVW2	
248391	315	22.68	0.62	UVW2	
254167	315	22.52	0.60	UVW2	
259893	315	21.66	0.31	UVW2	
315812	1134	23.18	0.46	UVW2	
347207	795	22.98	0.54	UVW2	
453914	1820	22.92	0.30	UVW2	
618	19.5	19.05	0.33	UVM2	
791	19.5	19.28	0.38	UVM2	
1593	19.4	19.66	0.45	UVM2	
1768	19.5	19.03	0.33	UVM2	
5754	197	19.91	0.17	UVM2	
7190	197	19.06	0.11	UVM2	
24053	886	19.75	0.07	UVM2	
76528	91	21.06	0.55	UVM2	
77083	110	20.69	0.34	UVM2	
80922	886	20.89	0.14	UVM2	
88370	629	20.96	0.16	UVM2	
98094	886	20.94	0.15	UVM2	
111387	793	20.99	0.14	UVM2	
134472	823	21.65	0.21	UVM2	
190934	180	21.93	0.64	UVM2	
196724	120	21.52	0.56	UVM2	
237248	310	21.46	0.33	UVM2	
243230	816	21.96	0.29	UVM2	
249516	1725	22.27	0.23	UVM2	
255291	1725	22.43	0.26	UVM2	
261042	1773	22.27	0.23	UVM2	
347616	795	22.66	0.50	UVM2	
454182	1820	22.76	0.33	UVM2	
643	19.5	18.67	0.23	UVW1	
816	19.5	18.58	0.23	UVW1	
1095	19.5	18.90	0.26	UVW1	
1269	19.5	19.12	0.29	UVW1	
1444	19.5	18.74	0.24	UVW1	
1618	19.5	19.47	0.36	UVW1	
1793	19.5	18.78	0.25	UVW1	
1966	19.5	19.38	0.34	UVW1	
5959	197	19.64	0.13	UVW1	
7396	197	18.87	0.08	UVW1	
24836	642	19.74	0.07	UVW1	
35663	886	20.36	0.09	UVW1	
51634	374	21.12	0.30	UVW1	
69284	886	21.15	0.17	UVW1	
81829	886	20.84	0.12	UVW1	
92290	886	20.76	0.14	UVW1	
99001	886	20.60	0.10	UVW1	
222045	2944	21.94	0.19	UVW1	
315418	944	22.08	0.33	UVW1	
348017	782	22.71	0.52	UVW1	
454444	1680	22.99	0.42	UVW1	
840	19.5	19.00	0.26	U	
6164	197	19.12	0.09	U	
7601	197	18.10	0.05	U	
28976	295	19.60	0.11	U	
29280	295	19.66	0.11	U	
29583	295	19.56	0.10	U	
36269	295	19.99	0.13	U	
36568	285	19.67	0.11	U	
53598	295	20.83	0.24	U	
53895	282	20.69	0.22	U	
69891	295	21.03	0.28	U	
70186	279	20.84	0.25	U	
82435	295	20.40	0.17	U	
82738	295	20.38	0.17	U	
92897	295	20.19	0.15	U	
93200	295	20.15	0.14	U	
93504	295	20.28	0.16	U	
99607	295	20.31	0.16	U	
99911	295	20.28	0.16	U	
100152	172	20.01	0.17	U	
222132	1341	20.95	0.18	U	
352654	1148	21.88	0.48	U	
451850	920	21.64	0.34	U	
692	19.5	17.92	0.20	B	
1144	19.5	18.12	0.23	B	
1319	19.5	18.16	0.23	B	
1494	19.5	18.32	0.26	B	
1669	19.5	18.26	0.25	B	
1842	19.5	18.79	0.37	B	
2016	19.5	17.82	0.19	B	
6369	197	18.88	0.12	B	
7772	128	17.77	0.07	B	
17006	295	18.43	0.11	B	
17310	295	18.41	0.09	B	
17613	295	18.44	0.08	B	
29889	295	19.47	0.16	B	
30194	295	19.32	0.14	B	
30498	295	19.36	0.14	B	
47562	295	19.86	0.21	B	
47865	295	20.04	0.25	B	
63209	295	20.20	0.47	B	
63513	295	20.20	0.36	B	
63816	295	20.32	0.32	B	
93809	295	19.57	0.17	B	
94113	295	20.12	0.26	B	
94365	195	20.31	0.38	B	
219341	1245	20.77	0.31	B	
594	19.5	17.21	0.24	V	
766	19.5	17.35	0.25	V	
1046	19.5	17.76	0.33	V	
1219	19.5	17.81	0.32	V	
1394	19.5	17.29	0.24	V	
1569	19.5	18.22	0.46	V	
1743	19.5	17.88	0.35	V	
1916	19.5	17.66	0.31	V	
5549	197	18.04	0.16	V	
6985	197	17.76	0.11	V	
13005	295	18.12	0.11	V	
13308	295	18.14	0.11	V	
13538	148	18.46	0.20	V	
22841	295	18.77	0.26	V	
23144	295	18.75	0.20	V	
23448	295	18.75	0.18	V	
59628	295	19.68	0.37	V	
75719	295	19.43	0.30	V	
76023	295	19.66	0.37	V	
87288	295	19.99	0.48	V	
87591	295	19.13	0.23	V	
87895	295	19.80	0.40	V	
110221	295	19.52	0.33	V	
110525	295	20.02	0.49	V	
110828	295	19.70	0.38	V	
129011	206	19.25	0.31	V	
219752	760	20.65	0.57	V	
502	147	18.74	0.04	White	
717	19.5	18.12	0.08	White	
931	147	18.53	0.04	White	
1169	19.5	18.72	0.11	White	
1343	19.5	18.68	0.11	White	
1519	19.5	18.65	0.10	White	
1693	19.5	18.80	0.11	White	
1866	19.5	18.83	0.12	White	
2040	19.5	18.22	0.08	White	
657	197	18.97	0.04	White	
11185	295	18.58	0.04	White	
11489	295	18.65	0.04	White	
11792	295	18.70	0.03	White	
17918	295	18.83	0.04	White	
18221.6	295	18.87	0.04	White	
18525	295	18.881	0.04	White	
30795	281	19.71	0.06	White	
48143	237	20.48	0.10	White	
64067	190	20.74	0.14	White	
65539	98	20.37	0.14	White	
122206	295	20.34	0.08	White	
122509	295	20.32	0.08	White	
122813	295	20.17	0.07	White	
161758	4434	20.68	0.04	White	
272116	511	21.34	0.17	White	
353402	1148	22.12	0.19	White	
452207	920	22.55	0.33	White	
517782	10264	22.31	0.08	White	
627714	10027	22.69	0.11	White	
694819	9936	22.77	0.11	White	
775015	9897	23.07	0.15	White	
864545	9888	23.28	0.19	White	
951132	7946	23.65	0.29	White	
Notes. UVOT observations of GRB 111209A, taken in each of the UVOT filters. We have attempted to maintain separate magnitude measurements in each snapshot, where possible, in order to preserve the time series, but note that this occasionally leads to large (>0.3 mag) errors on the associated measurements.
