Table 1 
KAIT Observations of GRB 120729A


$T-{T}_{0}$(mid) (s)^a	Exp. (s)	Mag^b	sigma^c	Filter	
101.98	20	14.74	0.04	V	
202.18	20	15.34	0.04	V	
299.88	20	15.67	0.04	V	
400.08	20	15.87	0.04	V	
500.28	20	15.98	0.04	V	
598.78	20	16.19	0.05	V	
698.98	20	16.41	0.06	V	
799.18	20	16.65	0.07	V	
899.48	20	16.80	0.08	V	
996.18	20	16.87	0.09	V	
1093.88	20	16.94	0.09	V	
1194.08	20	17.01	0.11	V	
1294.28	20	17.07	0.10	V	
1394.48	20	17.26	0.10	V	
1492.98	20	17.22	0.12	V	
134.78	20	13.81	0.03	I	
235.08	20	14.31	0.04	I	
333.48	20	14.64	0.04	I	
432.88	20	14.81	0.04	I	
533.08	20	14.87	0.05	I	
632.48	20	15.13	0.05	I	
731.88	20	15.37	0.05	I	
832.08	20	15.56	0.07	I	
930.58	20	15.67	0.06	I	
1028.18	20	15.79	0.06	I	
1127.58	20	15.91	0.07	I	
1226.88	20	16.97	0.07	I	
1327.08	20	16.13	0.08	I	
1427.38	20	16.07	0.08	I	
1525.88	20	16.22	0.09	I	
1593.28	20	16.36	0.10	I	
1659.78	20	16.38	0.12	I	
1723.68	20	16.50	0.12	I	
1797.18	20	16.42	0.09	I	
1866.28	20	16.46	0.11	I	
1937.08	20	16.41	0.09	I	
2007.98	20	16.57	0.13	I	
2078.78	20	16.54	0.12	I	
2150.48	20	16.56	0.13	I	
2220.48	20	16.60	0.12	I	
2291.38	20	16.63	0.12	I	
2362.18	20	16.58	0.12	I	
2433.08	20	16.58	0.11	I	
2503.88	20	16.61	0.11	I	
2884.08	20	16.71	0.11	I	
2954.88	20	16.69	0.13	I	
3025.78	20	16.82	0.13	I	
3097.48	20	16.83	0.12	I	
3168.28	20	16.79	0.13	I	
3239.18	20	16.87	0.12	I	
3431.88	20	16.99	0.14	I	
3505.28	20	17.03	0.13	I	
3576.08	20	17.07	0.14	I	
3648.68	20	17.15	0.16	I	
3719.58	20	16.95	0.14	I	
3790.38	20	17.08	0.14	I	
3861.28	20	17.03	0.12	I	
3932.08	20	17.18	0.18	I	
4002.98	20	17.17	0.17	I	
4073.78	20	17.14	0.15	I	
4145.48	20	17.22	0.18	I	
4216.38	20	17.52	0.22	I	
4287.18	20	17.17	0.16	I	
4357.18	20	17.17	0.17	I	
4427.98	20	17.32	0.19	I	
4498.88	20	17.41	0.22	I	
4569.68	20	17.29	0.21	I	
4641.48	20	17.59	0.32	I	
4712.28	20	17.32	0.23	I	
4783.08	20	17.64	0.36	I	
4853.98	20	17.68	0.31	I	
4924.78	20	17.38	0.30	I	
4996.58	20	17.49	0.30	I	
5067.38	20	17.36	0.35	I	
5208.18	20	17.41	0.45	I	
283.08	20	15.11	0.01	R	
380.08	20	15.39	0.01	R	
480.08	20	15.52	0.01	R	
580.08	20	15.67	0.01	R	
680.08	20	15.89	0.01	R	
779.08	20	16.13	0.01	R	
879.08	20	16.31	0.01	R	
977.08	20	16.39	0.01	R	
1075.08	20	16.44	0.01	R	
1175.08	20	16.54	0.01	R	
1274.08	20	16.64	0.01	R	
1374.08	20	16.69	0.01	R	
1474.08	20	16.78	0.01	R	
1574.08	20	16.92	0.01	R	
1640.08	20	17.99	0.01	R	
1705.08	20	17.01	0.01	R	
1778.08	20	17.00	0.01	R	
1844.08	20	17.04	0.01	R	
1915.08	20	17.09	0.01	R	
1986.08	20	17.07	0.01	R	
2057.08	20	17.08	0.01	R	
2128.08	20	17.12	0.01	R	
2199.08	20	17.09	0.01	R	
2270.08	20	17.16	0.01	R	
2341.08	20	17.13	0.01	R	
2412.08	20	17.17	0.01	R	
2483.08	20	17.17	0.01	R	
2933.08	20	17.26	0.01	R	
3004.08	20	17.26	0.01	R	
3075.08	20	17.27	0.01	R	
3146.08	20	17.33	0.01	R	
3217.08	20	17.38	0.01	R	
3288.08	20	17.38	0.01	R	
3483.08	20	17.45	0.01	R	
3554.08	20	17.53	0.01	R	
3625.08	20	17.56	0.01	R	
3698.08	20	17.64	0.01	R	
3769.08	20	17.62	0.01	R	
3840.08	20	17.71	0.01	R	
3911.08	20	17.57	0.01	R	
3982.08	20	17.61	0.01	R	
4053.08	20	17.78	0.01	R	
4123.08	20	17.4	0.01	R	
4194.08	20	17.86	0.01	R	
4265.08	20	17.77	0.01	R	
4336.08	20	17.87	0.01	R	
4407.08	20	17.67	0.01	R	
4478.08	20	17.75	0.01	R	
4549.08	20	17.89	0.01	R	
4620.08	20	17.99	0.01	R	
4761.08	20	17.71	0.01	R	
4832.08	20	17.82	0.01	R	
4903.08	20	17.85	0.01	R	
Notes.
^a $T-{T}_{0}$ is the midpoint of each observation. The reference time T_0 is the time of initial BAT detection, which is 3.08 s before the BAT trigger.
^b Not taking into account the Galactic extinction.
^c sigma is the uncertainty in the magnitude. Here we present the statistic uncertainty only.
