$T_{\rm start}$	$T_{\rm end}$	mag.	$\Delta $mag.	GCNC Ref.
39.9	48.9	C > 16.75	 	TAROT
48.9	57.3	C > 16.45	 	TAROT
57.3	65.7	C > 16.25	 	TAROT
65.7	74.7	C > 16.75	 	TAROT
74.7	83.1	C > 16.75	 	TAROT
83.1	91.5	C > 16.75	 	TAROT
90.0	100.0	V  17.90	0.10	6336
101.1	131.0	C  16.64	0.18	TAROT
137.6	166.4	C  16.46	0.13	TAROT
109.0	208.0	V  17.40	0.10	6336
173.1	203.1	C  16.03	0.11	TAROT
296.1	386.1	C  16.38	0.12	TAROT
392.1	482.0	C  16.73	0.17	TAROT
491.6	582.3	R  16.84	0.23	TAROT
590.0	680.0	C  17.05	0.31	TAROT
693.0	703.0	B  18.80	0.10	6336
686.0	776.0	C  17.05	0.26	TAROT
890.0	980.1	C  17.50	0.41	TAROT
986.1	1075.5	C  17.65	0.47	TAROT
10 530.0	11 154.0	R  19.70	0.40	6334
12 678.0	13 308.0	I  19.30	0.50	6334
