25.7944	360	3.1	0.3 m	0.30	Unf	18.591	0.21
25.8393	360	2.5	0.3 m	0.38	Unf	18.671	0.21
25.9437	360	3.0	0.3 m	0.48	Unf	18.901	0.21
29.3355	5500	3.9	1.54 mD	3.88	$R_{{\rm c}}$	21.20	0.04
30.3151	1800	4.4	1.54 mD	4.83	$R_{{\rm c}}$	21.51	0.05
01.4347	1200	4.9	1.54 mD	6.93	$R_{{\rm c}}$	22.46	0.55
02.2920	7800	4.9	1.54 mD	7.85	$R_{{\rm c}}$	22.25	0.06
03.3268	7800	4.8	1.54 mD	8.87	$R_{{\rm c}}$	22.45	0.08
04.7899	13 800	5.7	1.54 mD	10.34	$R_{{\rm c}}$	22.57	0.10
06.3535	3600	5.4	1.54 mD	11.88	$R_{{\rm c}}$	22.96	0.10
07.3176	4200	4.6	1.54 mD	12.87	$R_{{\rm c}}$	23.04	0.09
08.3116	7800	5.0	1.54 mD	13.86	$R_{{\rm c}}$	22.87	0.17
09.3360	6600	4.2	1.54 mD	14.87	$R_{{\rm c}}$	22.54	0.20
06.3211	3600	4.1	1.54 mD	11.83	V	23.61	0.15
07.3383	4800	4.5	1.54 mD	12.85	$I_{{\rm c}}$	22.12	0.17
09.2839	3600	3.2	1.54 mD	14.79	$I_{{\rm c}}$	22.38	0.19
