"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"111651","SN 2022ofv","23:50:24.863","+29:52:56.99","SN Ic-BL","0.0472","SDSS J235024.97+295257.3","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22aarwwyy","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","Keck1 - LRIS","1","1","","19.3243","r-ZTF","2022-07-04 09:20:16.996","ALeRCE","","2022TNSTR1864....1M","2022TNSCR2451....1S",""
"107793","SN 2022ixu","13:51:19.860","+58:54:38.88","SN Ic-BL","0.072","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF22aahxaiv","Gaia - Gaia-photometric, P48 - ZTF-Cam","P200 - DBSP","1","1","","19.42","g-ZTF","2022-04-29 07:58:04.800","ZTF_Bot1","","2022TNSTR1117....1F","2022TNSCR1657....1S",""
"106555","SN 2022hdn","15:00:09.143","+36:07:13.09","SN Ic-BL","0.161","SDSS J150009.15+360712.9","","ALeRCE, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS","SGLF","ALeRCE; ATLAS; Pan-STARRS","ZTF22aadrjte","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","20.2193","g-ZTF","2022-04-03 08:10:44.999","ALeRCE","","2022TNSTR.915....1F","2022TNSCR1734....1P",""
"102487","SN 2022eqb","13:29:05.920","-04:54:21.72","SN Ic-BL","0.06","","","Pan-STARRS, ATLAS, ZTF","Pan-STARRS, ATLAS, ZTF","ePESSTO+","ATLAS; Pan-STARRS; ZTF","PS22cap","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.26","w-P1","2022-03-07 13:40:56.640","PS2_Bot1","","2022TNSTR.673....1C","2022TNSCR.763....1M",""
"101068","SN 2022crr","15:24:49.132","-21:23:21.73","SN Ic-BL","0.0188","","","ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","UCSC","ATLAS; Pan-STARRS; ZTF","ATLAS22gcd","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2","SOAR - Goodman","1","1","","17.965","orange-ATLAS","2022-02-18 02:35:23.424","ATLAS_Bot1","","2022TNSTR.436....1T","2022TNSCR.520....1D",""
"100955","SN 2022cob","14:59:35.390","+14:07:44.00","SN Ic-BL","0.0445","","","ZTF, ATLAS, AMPEL, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","Global SN Project","AMPEL; ATLAS; Pan-STARRS; ZTF","ZTF22aaaoyme","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","FTN - FLOYDS-N","1","1","","19.15","g-ZTF","2022-02-15 09:14:24.000","ZTF_Bot1","","2022TNSTR.413....1F","2022TNSCR.509....1P",""
"100630","SN 2022cca","09:09:10.355","-03:51:57.41","SN Ic-BL","0.042","","","ZTF, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Fink; Pan-STARRS; ZTF","ZTF22aaahuly","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.13","g-ZTF","2022-02-12 07:06:14.400","ZTF_Bot1","","2022TNSTR.371....1F","2022TNSCR.500....1K",""
"100327","SN 2022bqt","00:51:26.714","+40:43:46.35","SN Ic-BL","0.01953","","","ATLAS, ZTF","ATLAS, ZTF","SCAT","ATLAS; ZTF","ATLAS22ffi","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.397","orange-ATLAS","2022-02-08 05:38:30.048","ATLAS_Bot1","","2022TNSTR.322....1T","2022TNSCR.353....1H",""
"99154","SN 2022ys","02:21:47.203","-10:01:38.15","SN Ic-BL","0.017455","","","ATLAS","ATLAS","SCAT, None","ATLAS","ATLAS22btr","ATLAS-MLO - ATLAS-01","Other - Other, UH88 - SNIFS","1","1","","17.21","orange-ATLAS","2022-01-17 06:40:19.200","ATLAS_Bot1","","2022TNSTR.133....1T","2022TNSCR.213....1P, 2022TNSCR.211....1T",""
"97818","SN 2021agqh","10:12:58.540","-16:16:32.56","SN Ic-BL","0.05","","","GaiaAlerts, ATLAS, Pan-STARRS","GaiaAlerts, ATLAS, Pan-STARRS","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS","Gaia21fss","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.94","G-Gaia","2021-12-24 00:20:09.600","Gaia_Bot1","","2021TNSTR4218....1H","2022TNSCR...9....1A",""
